Epoch time,Latitude,Longitude,Radiation(cps)
1682123812.1161711,37.870301,-122.258113,45.8
1682123819.5211098,37.870301,-122.258113,38.6
1682123827.2387624,37.870301,-122.258113,41.0
1682123834.75462,37.870301,-122.258113,43.6
1682123842.394965,37.870301,-122.258113,39.2
1682123849.9925728,37.870301,-122.258113,42.2
1682123857.50797,37.870301,-122.258113,41.0
1682123865.1670134,37.870301,-122.258113,42.8
1682123872.813209,37.870301,-122.258113,42.4
1682123880.3651967,37.870301,-122.258113,39.8
1682123887.9281347,37.870301,-122.258113,40.0
1682123895.432648,37.870301,-122.258113,40.0
1682123903.1089063,37.870301,-122.258113,46.0
1682123910.7863586,37.870301,-122.258113,44.0
1682123918.3075628,37.870301,-122.258113,39.4
1682123925.765808,37.870301,-122.258113,40.2
1682123933.2101052,37.870301,-122.258113,42.0
1682123940.7439842,37.870301,-122.258113,43.8
1682123948.4819376,37.870301,-122.258113,40.6
1682123955.9834752,37.870301,-122.258113,44.8
1682123963.8046174,37.870301,-122.258113,45.0
1682123971.3049963,37.870301,-122.258113,37.8
1682123978.8066435,37.870301,-122.258113,38.2
1682123986.5950844,37.870301,-122.258113,43.2
1682123994.095758,37.870301,-122.258113,38.4
1682124001.621853,37.870301,-122.258113,39.2
1682124009.1870387,37.870301,-122.258113,45.4
1682124016.683365,37.870301,-122.258113,43.2
1682124024.4089427,37.870301,-122.258113,39.8
1682124032.2799134,37.870301,-122.258113,42.4
1682124039.7895916,37.870301,-122.258113,42.8
1682124047.3901052,37.870301,-122.258113,41.8
1682124055.2134354,37.870301,-122.258113,46.4
1682124062.7692263,37.870301,-122.258113,40.6
1682124070.7395377,37.870301,-122.258113,44.2
1682124078.3846684,37.870301,-122.258113,39.4
1682124086.021016,37.870301,-122.258113,42.8
1682124093.6530309,37.870301,-122.258113,38.8
1682124101.2111547,37.870301,-122.258113,40.6
1682124109.1555328,37.870301,-122.258113,40.0
1682124116.7891858,37.870301,-122.258113,41.6
1682124124.316289,37.870301,-122.258113,41.2
1682124131.9529228,37.870301,-122.258113,39.8
1682124139.5995786,37.870301,-122.258113,42.6
1682124147.3537369,37.870301,-122.258113,41.4
1682124155.0158684,37.870301,-122.258113,40.6
1682124162.5704882,37.870301,-122.258113,37.4
1682124170.1722429,37.870301,-122.258113,40.2
1682124177.8486605,37.870301,-122.258113,41.2
1682124185.5222902,37.870301,-122.258113,35.4
1682124193.538299,37.870301,-122.258113,40.6
1682124201.194393,37.870301,-122.258113,39.0
1682124208.8465781,37.870301,-122.258113,39.2
1682124216.5010557,37.870301,-122.258113,45.8
1682124224.2543108,37.870301,-122.258113,42.2
1682124232.1252356,37.870301,-122.258113,38.4
1682124239.8639874,37.870301,-122.258113,37.6
1682124247.4831064,37.870301,-122.258113,41.8
1682124255.1405773,37.870301,-122.258113,41.2
1682124262.8425353,37.870301,-122.258113,43.6
1682124270.6876075,37.870301,-122.258113,36.6
1682124278.4531233,37.870301,-122.258113,46.2
1682124286.3378592,37.870301,-122.258113,47.2
1682124293.981438,37.870301,-122.258113,46.6
1682124301.8385248,37.870301,-122.258113,46.0
1682124309.6663902,37.870301,-122.258113,47.8
1682124317.3438356,37.870301,-122.258113,39.6
1682124325.083935,37.870301,-122.258113,42.4
1682124332.7035131,37.870301,-122.258113,45.2
1682124340.4231188,37.870301,-122.258113,44.2
1682124348.337901,37.870301,-122.258113,41.6
1682124356.0225446,37.870301,-122.258113,45.4
1682124363.7825224,37.870301,-122.258113,39.6
1682124371.4142406,37.870301,-122.258113,41.4
1682124379.1105998,37.870301,-122.258113,47.0
1682124387.2493985,37.870301,-122.258113,48.0
1682124394.9608495,37.870301,-122.258113,35.8
1682124402.7817676,37.870301,-122.258113,35.6
1682124410.4330091,37.870301,-122.258113,41.4
1682124418.151577,37.870301,-122.258113,40.6
1682124426.363412,37.870301,-122.258113,45.8
1682124434.300287,37.870301,-122.258113,41.4
1682124442.128227,37.870301,-122.258113,44.0
1682124449.9775577,37.870301,-122.258113,43.0
1682124457.7135577,37.870301,-122.258113,43.0
1682124465.7614086,37.870301,-122.258113,42.6
1682124473.4497693,37.870301,-122.258113,38.6
1682124481.3903227,37.870301,-122.258113,41.2
1682124489.2093275,37.870301,-122.258113,45.0
1682124496.9238892,37.870301,-122.258113,46.0
1682124504.9590387,37.870301,-122.258113,43.6
1682124512.644988,37.870301,-122.258113,42.6
1682124520.497274,37.870301,-122.258113,40.4
1682124528.3821166,37.870301,-122.258113,42.0
1682124536.3750243,37.870301,-122.258113,42.6
1682124544.285814,37.870301,-122.258113,39.6
1682124552.2236726,37.870301,-122.258113,43.8
1682124560.1572661,37.870301,-122.258113,41.8
1682124568.1457462,37.870301,-122.258113,41.0
1682124576.1843374,37.870301,-122.258113,43.4
1682124584.111137,37.870301,-122.258113,41.6
1682124591.8549767,37.870301,-122.258113,39.4
1682124599.6476088,37.870301,-122.258113,43.8
1682124607.6057217,37.870301,-122.258113,36.4
1682124615.6871347,37.870301,-122.258113,43.2
1682124623.6669164,37.870301,-122.258113,43.6
1682124631.6183896,37.870301,-122.258113,35.8
1682124639.4942172,37.870301,-122.258113,46.2
1682124647.3733397,37.870301,-122.258113,39.6
1682124655.3786302,37.870301,-122.258113,44.0
1682124663.3199692,37.870301,-122.258113,46.8
1682124671.1424892,37.870301,-122.258113,44.8
1682124679.0900254,37.870301,-122.258113,42.4
1682124687.2499883,37.870301,-122.258113,43.2
1682124695.0675635,37.870301,-122.258113,37.2
1682124703.0812936,37.870301,-122.258113,44.4
1682124711.0247302,37.870301,-122.258113,40.2
1682124718.920127,37.870301,-122.258113,42.8
1682124727.0447173,37.870301,-122.258113,43.8
1682124735.0462823,37.870301,-122.258113,41.0
1682124742.953834,37.870301,-122.258113,39.6
1682124750.830977,37.870301,-122.258113,42.4
1682124758.7794335,37.870301,-122.258113,46.0
1682124766.9293678,37.870301,-122.258113,43.0
1682124774.7620506,37.870301,-122.258113,34.6
1682124782.6470642,37.870301,-122.258113,39.6
1682124790.5572288,37.870301,-122.258113,40.2
1682124798.9114087,37.870301,-122.258113,40.2
1682124806.793972,37.870301,-122.258113,38.8
1682124814.6743908,37.870301,-122.258113,39.8
1682124822.7337425,37.870301,-122.258113,40.4
1682124830.6003168,37.870301,-122.258113,41.8
1682124838.8420815,37.870301,-122.258113,46.2
1682124846.7234316,37.870301,-122.258113,40.8
1682124854.6933088,37.870301,-122.258113,36.8
1682124862.6668944,37.870301,-122.258113,40.6
1682124870.9111242,37.870301,-122.258113,35.6
1682124878.9214895,37.870301,-122.258113,44.6
1682124886.8398993,37.870301,-122.258113,41.8
1682124894.8543568,37.870301,-122.258113,42.8
1682124902.8404813,37.870301,-122.258113,41.4
1682124911.0335553,37.870301,-122.258113,45.6
1682124919.0211189,37.870301,-122.258113,46.4
1682124926.90049,37.870301,-122.258113,37.4
1682124935.0125027,37.870301,-122.258113,46.8
1682124943.6022096,37.870301,-122.258113,43.6
1682124952.0085073,37.870301,-122.258113,44.6
1682124960.034462,37.870301,-122.258113,41.8
1682124968.1782715,37.870301,-122.258113,41.2
1682124976.266569,37.870301,-122.258113,44.2
1682124984.6057742,37.870301,-122.258113,41.2
1682124992.9269567,37.870301,-122.258113,39.4
1682125001.0396314,37.870301,-122.258113,43.2
1682125009.2533102,37.870301,-122.258113,39.0
1682125017.559033,37.870301,-122.258113,40.0
1682125025.7281797,37.870301,-122.258113,40.2
1682125033.8178492,37.870301,-122.258113,44.6
1682125042.0718393,37.870301,-122.258113,46.0
1682125050.1845076,37.870301,-122.258113,37.6
1682125058.7021747,37.870301,-122.258113,38.2
1682125066.8752747,37.870301,-122.258113,45.0
1682125075.0613942,37.870301,-122.258113,44.6
1682125083.2101042,37.870301,-122.258113,44.6
1682125091.6052125,37.870301,-122.258113,37.6
1682125099.8291233,37.870301,-122.258113,40.6
1682125107.9913201,37.870301,-122.258113,36.6
1682125116.4041457,37.870301,-122.258113,45.4
1682125124.5498507,37.870301,-122.258113,39.6
1682125133.0478232,37.870301,-122.258113,41.0
1682125141.186554,37.870301,-122.258113,37.8
1682125149.425077,37.870301,-122.258113,47.4
1682125157.6808617,37.870301,-122.258113,39.8
1682125166.0940962,37.870301,-122.258113,40.4
1682125174.3495328,37.870301,-122.258113,47.2
1682125182.5184407,37.870301,-122.258113,44.0
1682125190.7535377,37.870301,-122.258113,36.8
1682125199.3262568,37.870301,-122.258113,39.6
1682125207.6041615,37.870301,-122.258113,39.4
1682125215.7906203,37.870301,-122.258113,38.6
1682125224.0450175,37.870301,-122.258113,51.8
1682125232.4745646,37.870301,-122.258113,40.4
1682125240.771932,37.870301,-122.258113,40.8
1682125248.958479,37.870301,-122.258113,43.2
1682125257.3652968,37.870301,-122.258113,42.6
1682125265.6712985,37.870301,-122.258113,39.8
1682125274.5199983,37.870301,-122.258113,46.6
1682125282.7449884,37.870301,-122.258113,46.2
1682125291.099519,37.870301,-122.258113,46.8
1682125299.5787132,37.870301,-122.258113,42.0
1682125308.2944984,37.870301,-122.258113,43.0
1682125316.6470504,37.870301,-122.258113,36.8
1682125324.9225495,37.870301,-122.258113,42.8
1682125333.2954397,37.870301,-122.258113,40.8
1682125341.8040884,37.870301,-122.258113,42.4
1682125350.1280165,37.870301,-122.258113,43.0
1682125358.6152542,37.870301,-122.258113,42.0
1682125367.1965618,37.870301,-122.258113,45.4
1682125375.7671525,37.870301,-122.258113,41.0
1682125384.1481009,37.870301,-122.258113,40.4
1682125392.515965,37.870301,-122.258113,43.8
1682125401.106722,37.870301,-122.258113,45.6
1682125409.4034102,37.870301,-122.258113,44.2
1682125417.986644,37.870301,-122.258113,42.6
1682125426.3291159,37.870301,-122.258113,39.4
1682125434.6473334,37.870301,-122.258113,44.8
1682125442.9874847,37.870301,-122.258113,38.4
1682125451.609177,37.870301,-122.258113,45.4
1682125460.2309227,37.870301,-122.258113,38.2
1682125468.6751523,37.870301,-122.258113,41.6
1682125477.129796,37.870301,-122.258113,44.2
1682125485.7240508,37.870301,-122.258113,44.6
1682125494.1087172,37.870301,-122.258113,38.8
1682125502.460814,37.870301,-122.258113,44.2
1682125510.8170114,37.870301,-122.258113,42.8
1682125519.5247345,37.870301,-122.258113,40.6
1682125528.0024648,37.870301,-122.258113,43.6
1682125536.3087444,37.870301,-122.258113,42.2
1682125544.7488098,37.870301,-122.258113,41.0
1682125553.414297,37.870301,-122.258113,40.2
1682125561.903164,37.870301,-122.258113,45.8
1682125570.223638,37.870301,-122.258113,42.6
1682125578.7690587,37.870301,-122.258113,38.4
1682125587.3488681,37.870301,-122.258113,44.8
1682125595.9267504,37.870301,-122.258113,45.6
1682125604.2898872,37.870301,-122.258113,51.8
1682125612.8323405,37.870301,-122.258113,40.8
1682125621.3961265,37.870301,-122.258113,44.6
1682125629.97997,37.870301,-122.258113,45.4
1682125638.3407657,37.870301,-122.258113,40.0
1682125646.7994423,37.870301,-122.258113,39.4
1682125655.4536762,37.870301,-122.258113,42.8
1682125664.0500968,37.870301,-122.258113,43.4
1682125672.4889965,37.870301,-122.258113,42.8
1682125680.944049,37.870301,-122.258113,38.0
1682125689.716971,37.870301,-122.258113,45.4
1682125698.2014477,37.870301,-122.258113,41.2
1682125706.7061038,37.870301,-122.258113,42.0
1682125715.1614783,37.870301,-122.258113,41.8
1682125724.011535,37.870301,-122.258113,41.8
1682125732.5554235,37.870301,-122.258113,40.4
1682125741.118922,37.870301,-122.258113,41.0
1682125749.750582,37.870301,-122.258113,43.8
1682125758.4917173,37.870301,-122.258113,47.4
1682125767.0559332,37.870301,-122.258113,43.6
1682125775.60483,37.870301,-122.258113,42.2
1682125784.2972167,37.870301,-122.258113,39.2
1682125792.9490151,37.870301,-122.258113,42.2
1682125801.5902839,37.870301,-122.258113,46.4
1682125810.0501187,37.870301,-122.258113,42.8
1682125818.6805425,37.870301,-122.258113,42.6
1682125827.3720713,37.870301,-122.258113,41.4
1682125836.0469038,37.870301,-122.258113,54.4
1682125844.6414165,37.870301,-122.258113,43.0
1682125853.2905607,37.870301,-122.258113,45.8
1682125861.996209,37.870301,-122.258113,36.0
1682125870.610454,37.870301,-122.258113,46.8
1682125879.0809882,37.870301,-122.258113,44.6
1682125887.785818,37.870301,-122.258113,40.2
1682125896.6397948,37.870301,-122.258113,42.4
1682125905.4044905,37.870301,-122.258113,47.4
1682125913.9333353,37.870301,-122.258113,45.6
1682125922.4784477,37.870301,-122.258113,40.6
1682125931.2157767,37.870301,-122.258113,40.6
1682125939.8888707,37.870301,-122.258113,41.0
1682125948.4479818,37.870301,-122.258113,43.4
1682125957.0987048,37.870301,-122.258113,44.4
1682125966.2700846,37.870301,-122.258113,39.4
1682125974.891219,37.870301,-122.258113,41.6
1682125983.51903,37.870301,-122.258113,42.2
1682125992.122995,37.870301,-122.258113,43.0
1682126001.1753156,37.870301,-122.258113,44.8
1682126009.8939023,37.870301,-122.258113,44.2
1682126018.6275601,37.870301,-122.258113,41.6
1682126027.5634205,37.870301,-122.258113,43.2
1682126036.3899393,37.870301,-122.258113,42.4
1682126044.932084,37.870301,-122.258113,41.8
1682126053.5506864,37.870301,-122.258113,38.8
1682126062.410596,37.870301,-122.258113,41.8
1682126071.0547228,37.870301,-122.258113,46.6
1682126079.6666038,37.870301,-122.258113,42.8
1682126088.480294,37.870301,-122.258113,37.8
1682126097.6387417,37.870301,-122.258113,43.2
1682126106.2152154,37.870301,-122.258113,43.6
1682126114.8950016,37.870301,-122.258113,39.4
1682126123.593784,37.870301,-122.258113,42.4
1682126132.5918114,37.870301,-122.258113,39.8
1682126141.3211973,37.870301,-122.258113,39.8
1682126150.1521945,37.870301,-122.258113,44.6
1682126158.8470337,37.870301,-122.258113,39.6
1682126168.0305924,37.870301,-122.258113,49.4
1682126176.8069944,37.870301,-122.258113,45.4
1682126185.5929422,37.870301,-122.258113,44.4
1682126194.6966517,37.870301,-122.258113,43.8
1682126203.373159,37.870301,-122.258113,46.6
1682126212.1853893,37.870301,-122.258113,43.8
1682126220.8390439,37.870301,-122.258113,43.2
1682126229.9081385,37.870301,-122.258113,43.2
1682126238.61657,37.870301,-122.258113,44.0
1682126247.405839,37.870301,-122.258113,45.8
1682126256.1663175,37.870301,-122.258113,41.8
1682126265.1723387,37.870301,-122.258113,41.2
1682126273.9068394,37.870301,-122.258113,44.0
1682126282.593082,37.870301,-122.258113,42.6
1682126291.3505056,37.870301,-122.258113,39.2
1682126300.341844,37.870301,-122.258113,37.2
